HQURT_NAME,CMDLT_NAME,HSCD,HSCD_CN,REG_DT,REGL_CN,ISO_WD2_NAT_CD,REGL_STR_DE,REGL_END_DE,PROBE_TGT_NAT_NAME
북미지역본부,"볼트리스 스틸 선반 유닛
판매용 사전 포장(Boltless Steel Shelving Units
Prepackaged for Sale)",940320,"9403200018,9403200020,9403200025,9403200026",2023-05-19,상계관세(규제중),US,20210512,20260511,중국
북미지역본부,스테인리스 스틸 플레이트 코일(stainless steel plate in coils),722090,"7219110030,7219110060,7219120005,7219120020,7219120025,7219120050,7219120055,7219120065,7219120070,7219120080,7219310010,7219900010,7219900020,7219900025,7219900060,7219900080,7220110000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220900010,7220900015,7220900060,7220900080",2023-05-19,상계관세(조사중),US,,,남아공
북미지역본부,스테인리스 용접강관(Circular welded austenitic stainless pressure pipe),730640,730640,2023-05-19,상계관세(규제중),US,20191206,20241206,중국
북미지역본부,스테인리스 용접강관(Welded stainless pressure pipe),730640,730640,2023-05-19,상계관세(규제중),US,20220512,20270511,인도
북미지역본부,상품 매치북(Commodity matchbooks),360500,360500,2023-05-19,상계관세(규제중),US,20201109,20251108,인도
북미지역본부,실리코망간(Silicomanganese),720299,"720230,720299",2023-05-19,반덤핑(규제중),US,20181212,20231211,"중국,우크라이나"
북미지역본부,실리코망간(Silicomanganese),720230,"720230,720299",2023-05-19,반덤핑(규제중),US,20181212,20231211,"중국,우크라이나"
북미지역본부,설파닐 산(Sulfanilic acid),292142,"2921422420,29214270",2023-05-19,상계관세(조사중),US,,,인도
북미지역본부,석영 표면 제품(Quartz surface products),681599,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,석영 표면 제품(Quartz surface products),6815,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,석영 표면 제품(Quartz surface products),681099,"2506,250610,6810,681019,681091,681099,6815,681599",2023-05-19,반덤핑(규제중),US,20190711,20240710,중국
북미지역본부,스틸 와이어 옷걸이(Steel wire garment hangers),732690,"732620,732690",2023-05-19,상계관세(규제중),US,20180820,20230819,베트남
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722550,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
북미지역본부,송유관(Welded Line Pipe),730512,"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060",2023-05-19,상계관세(규제중),US,20210630,20260629,터키
북미지역본부,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),722599,"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",2023-05-19,상계관세(규제중),US,20141006,20251222,"중국,대만"
아프리카지역본부,파스타(Pasta),190211,"190219,190211",2023-05-19,반덤핑(규제중),ZA,20210401,20260331,"이집트, 라트비아, 리투아니아, 터키"
아프리카지역본부,투명플로트유리(clear float glass),700529,"70052917,70052923,70052925,70052935",2023-05-19,반덤핑(규제중),ZA,20200207,20250206,"사우디아라비아, UAE, 이집트"
아프리카지역본부,투명플로트유리(Clear float glass),700529,"70052917,70052923,70052925,70052935,70052945,70052955,70052965",2023-05-19,반덤핑(규제중),ZA,20220916,20270916,말레이시아
아프리카지역본부,체인(non-articulated welded link chains),731582,"73158203,73158205",2023-05-19,반덤핑(조사중),ZA,20220401,20220916,중국
아프리카지역본부,철강제 조임나사(Threaded fasteners of iron or steel),731816,"73181541,73181542,73181630",2023-05-19,세이프가드(규제중),ZA,20200724,20230723,전세계
아프리카지역본부,철강제 육각 스크류(Screws fully threaded with hexagon heads made of steel),731815,73181539,2023-05-19,세이프가드(규제중),ZA,20180803,20240801,전세계
아프리카지역본부,차량용 유리(windscreens for vehicles),700721,70072120,2023-05-19,반덤핑(조사중),ZA,20230210,20230809,중국
아프리카지역본부,"정원용 곡괭이, 삽 등(Garden picks, spades, shovels, rakes, forks)",820190,"82011010,82019020,82013003,82013090",2023-05-19,반덤핑(규제중),ZA,19931203,20240712,중국
아프리카지역본부,"정원용 곡괭이, 삽 등(Garden picks, spades, shovels, rakes, forks)",820130,"82011010,82019020,82013003,82013090",2023-05-19,반덤핑(규제중),ZA,19931203,20240712,중국
아프리카지역본부,"정원용 곡괭이, 삽 등(Garden picks, spades, shovels, rakes, forks)",820110,"82011010,82019020,82013003,82013090",2023-05-19,반덤핑(규제중),ZA,19931203,20240712,중국
아프리카지역본부,접합안전유리(Laminated safety glass),700729,700729,2023-05-19,반덤핑(조사중),ZA,20220318,20220917,중국
아프리카지역본부,철강제 조임나사(Threaded fasteners of iron or steel),731815,"73181541,73181542,73181630",2023-05-19,세이프가드(규제중),ZA,20200724,20230723,전세계
동남아대양주지역본부,"용접용 재료
(Welding material products)",722990,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"용접용 재료
(Welding material products)",831190,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"용접용 재료
(Welding material products)",831130,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"용접용 재료
(Welding material products)",721710,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
동남아대양주지역본부,"알루미늄 바(Aluminium bars, rods and profiles)",760410,"76041010,76041090,76042190,76042910,76042990",2023-05-19,반덤핑(규제중),VN,20191003,20241003,중국
동남아대양주지역본부,"알루미늄 바(Aluminium bars, rods and profiles)",760421,"76041010,76041090,76042190,76042910,76042990",2023-05-19,반덤핑(규제중),VN,20191003,20241003,중국
동남아대양주지역본부,"알루미늄 바(Aluminium bars, rods and profiles)",760429,"76041010,76041090,76042190,76042910,76042990",2023-05-19,반덤핑(규제중),VN,20191003,20241003,중국
동남아대양주지역본부,"용접용 재료
(Welding material products)",831110,"72171010,72173019,72179010,72292000,72299020,72299099,83111010,83111090,83113091,83113099,83119000",2023-05-19,반덤핑(규제중),VN,20220820,20270819,"중국, 태국, 말레이시아"
