나라,품목,예상 비중( 유사도 * 비중 / (유사도의 합) ) ,RCA,분자의 분자,분자의 분모,분모의 분자,분모의 분모,해당 나라 해당 품목 수입액,해당 나라 해당 품목 수출액,규제시작일자,규제종료일자
BO,903289,4.71978e-05,1.1253526847463151,724418772,681729790292,21695429120,22976267162433,5873696,30165,,
BO,540769,4.6709e-05,6.139306535526088,114664813,681729790292,629474366,22976267162433,8390309,0,,
BO,340290,4.34213e-05,0.6688650027513369,166011541,681729790292,8365020475,22976267162433,6834569,18812,,
BO,870810,3.39292e-05,0.1990067467939806,55649482,681729790292,9424547901,22976267162433,4796335,4067,,
BO,640419,2.31395e-05,0.0884148225751643,74943187,681729790292,28567634332,22976267162433,7216354,9833,,
BO,841350,2.12149e-05,0.2139714844799658,71460093,681729790292,11255761380,22976267162433,3665110,0,,
BO,841381,1.67647e-05,0.5676002740315943,81348255,681729790292,4830285990,22976267162433,5089085,2449,,
BO,730799,9.0836e-06,1.4779367094155595,219315741,681729790292,5001279975,22976267162433,2894065,1012,,
BO,853669,5.882e-06,1.4198137174949792,1145428695,681729790292,27189667156,22976267162433,4580771,2990,,
BO,850811,4.6588e-06,0.0864195022886464,42964062,681729790292,16755630479,22976267162433,904740,0,,
BO,731816,2.9389e-06,0.8312002734095265,210941123,681729790292,8553084774,22976267162433,2943360,0,,
VE,870322,0.0297693068,2.1999532974303966,6266563064,681729790292,96002635023,22976267162433,1816491,7506,,
VE,870332,0.0230125709,2.0215946053926785,3782770635,681729790292,63064236065,22976267162433,1868818,0,,
VE,842952,0.0157695988,3.607529466721565,3235310598,681729790292,30225486053,22976267162433,473363,0,,
VE,390210,0.0061990459,4.256354241546912,2493172653,681729790292,19741574594,22976267162433,5092044,760,,
VE,870340,0.0049452155,2.0737704271501163,6263603912,681729790292,101796022708,22976267162433,311849,13100,,
VE,190230,0.0012517658,7.179350494408098,862387282,681729790292,4048409053,22976267162433,380642,0,,
VE,842139,0.0009788069,1.1512306410759328,790447993,681729790292,23140788928,22976267162433,1295824,82491,,
VE,842131,0.0009635961,0.6322286208840212,81138263,681729790292,4325325085,22976267162433,648083,158,,
VE,190590,0.0007326367,0.3504335451926091,329552401,681729790292,31694653487,22976267162433,10000170,568960,,
VE,210690,0.0005663572,0.4570218852213122,730438126,681729790292,53865864755,22976267162433,101100418,346816,,
VE,650500,0.0001719494,0.2259172049543975,59889706,681729790292,8934496335,22976267162433,195281,8917,,
VE,903190,0.0001168595,1.3958219545102328,486800364,681729790292,11754064500,22976267162433,353234,205,,
VE,850720,0.0001072627,0.2658194925752569,68316420,681729790292,8661746623,22976267162433,613363,3947,,
VE,902790,9.79169e-05,0.1395997912804163,78549761,681729790292,18963884397,22976267162433,1136819,339,,
VE,711790,6.71926e-05,0.1737595658584685,10459596,681729790292,2028772679,22976267162433,290893,35640,,
VE,401032,6.70009e-05,0.7389307648020349,8063972,681729790292,367800625,22976267162433,17329,0,,
VE,847340,6.4808e-05,1.0095756268248746,74041804,681729790292,2471754506,22976267162433,2076317,0,,
VE,843120,5.72224e-05,0.7351787788231107,159295037,681729790292,7302582681,22976267162433,230995,3079,,
VE,842119,4.75734e-05,0.1191289851197179,9507225,681729790292,2689698064,22976267162433,56464,0,,
VE,950300,4.59207e-05,0.0425635510684285,80591339,681729790292,63814257113,22976267162433,5831274,30942,,
VE,640419,4.29307e-05,0.0884148225751643,74943187,681729790292,28567634332,22976267162433,1118862,188233,,
VE,848250,2.66504e-05,0.1988920415670733,23272736,681729790292,3943639769,22976267162433,231784,0,,
VE,491199,2.47528e-05,0.251680681973214,41408425,681729790292,5545057197,22976267162433,456255,10695,,
VE,620449,1.67107e-05,0.0700654462239171,5129226,681729790292,2467261279,22976267162433,73670,2198,,
VE,420212,1.13945e-05,0.0674772681842163,14302426,681729790292,7143637654,22976267162433,427228,1096,,
VE,851310,6.3007e-06,0.0982246572310798,9298578,681729790292,3190532822,22976267162433,192313,29345,,
VE,731990,3.6051e-06,0.9616807969302048,3256811,681729790292,114137620,22976267162433,186794,0,,
VE,731824,1.6471e-06,0.3861194081156056,9126911,681729790292,796653345,22976267162433,15830,0,,
GR,870421,0.0006548159,0.7150396379659002,1376773738,681729790292,64893269552,22976267162433,167478600,2128556,,
